"Keyword for: (lifepal.co.id/media)","www.google.co.id current position","Found SERP","Best Position","First Position","Local Search Volume (ID)","Global Search Volume","CPC (ID)","CPC (Global)","CMP (ID)","CMP (Global)"
"harga kamar siloam",1,"https://lifepal.co.id/media/segini-harga-kamar-rumah-sakit-siloam-per-malamnya/#:~:text=Pertanyaan seputar harga kamar Siloam,-Berapa harga kamar&text=Siloam Hospitals Semanggi:-,Kelas III: Rp300.000,VIP : Rp2.500.000",1,1,110,110,-,-,-,-
"asuransi hiv",1,https://lifepal.co.id/media/asuransi-hiv-aids/,1,1,40,40,-,-,45,45
"asuransi jiwa yang bagus",1,https://lifepal.co.id/media/asuransi-yang-bagus/,1,1,70,70,-,-,51,50
"asuransi pendidikan axa mandiri",,,,,90,90,-,-,11,10
"ksk insurance",,,,,1900,2900,-,0.5,-,-
bumida,,,,,1300,1300,-,-,1,1
"rincian biaya operasi caesar",4,https://lifepal.co.id/media/butuh-operasi-caesar-saat-melahirkan-siapkan-dana-persalinan-dengan-cara-ini/,4,6,210,210,-,-,-,-
"asuransi santunan harian rawat inap",1,https://lifepal.co.id/media/asuransi-santunan-harian-rawat-inap/,1,1,70,70,1,1,60,59
"tips memilih asuransi kesehatan",2,https://lifepal.co.id/media/bingung-memilih-asuransi-kesehatan-yang-tepat-mungkin-bisa-lakukan-ini/,2,7,70,70,-,-,34,33
"radius putar mobil",7,https://lifepal.co.id/media/radius-putar-mobil/,6,7,320,320,-,-,6,6
"asuransi tlo mobil bekas",2,https://lifepal.co.id/media/asuransi-mobil-bekas/,2,3,70,70,0.5,0.5,55,55
"lelang mobil bekas tabrakan",3,https://lifepal.co.id/media/lelang-mobil-tabrakan-asuransi/,3,3,70,70,-,-,20,20
"travel insurance untuk visa schengen",1,https://lifepal.co.id/media/asuransi-perjalanan-syarat-visa-schengen-mana-terbaik/,1,2,30,30,0.5,0.5,68,61
"asuransi reliance untuk melahirkan",1,"https://lifepal.co.id/media/asuransi-reliance-untuk-melahirkan/#:~:text=Asuransi Reliance untuk melahirkan adalah,melahirkan sampai dengan pasca melahirkan.",1,1,50,50,-,-,9,9
"cara daftar asuransi kesehatan allianz",1,"https://lifepal.co.id/media/cara-daftar-asuransi-kesehatan-allianz/#:~:text=Untuk cara daftar asuransi Allianz,layanan AllianzCare di 1500 136.",1,1,30,30,-,-,43,43
"penyakit yang tidak ditanggung asuransi prudential",1,"https://lifepal.co.id/media/penyakit-yang-tidak-ditanggung-asuransi-prudential/#:~:text=Apa saja penyakit yang tidak ditanggung asuransi Prudential?,tinggi, dan masih banyak lagi.",1,1,10,10,-,-,1,1
"asuransi aia 7 tahun",1,https://lifepal.co.id/media/asuransi-aia-7-tahun/,1,1,-,-,-,-,-,-
"rumah sakit terbaik di penang",3,https://lifepal.co.id/media/rumah-sakit-terbaik-di-penang/,3,3,170,170,-,-,32,29
"asuransi haji",2,https://lifepal.co.id/media/asuransi-haji/,1,1,70,70,-,-,16,16
"asuransi melahirkan axa mandiri",1,https://lifepal.co.id/media/asuransi-melahirkan-axa-mandiri/,1,1,40,40,-,-,33,33
"rumah sakit pluit",3,https://lifepal.co.id/media/rumah-sakit-pluit/,3,3,1600,1600,-,-,-,-
"kb insurance",,,,,880,1600,-,4,-,2
"rsia jakarta",4,https://lifepal.co.id/media/rsia-jakarta/,4,6,8100,8100,-,-,-,-
"harga obat miconazole",5,https://lifepal.co.id/media/harga-obat-miconazole/,4,4,720,720,-,-,27,27
"rumah sakit pgi cikini",5,https://lifepal.co.id/media/rumah-sakit-pgi-cikini/,4,5,590,590,-,-,-,-
"kompresor ac mobil",12,https://lifepal.co.id/media/kompresor-ac-mobil/,8,14,3600,3600,-,-,99,99
"denda telat bayar pajak mobil 2020",5,https://lifepal.co.id/media/denda-telat-bayar-pajak-mobil-2020/,2,2,10,10,-,-,-,-
"pembersih ac mobil",9,https://lifepal.co.id/media/pembersih-ac-mobil/,7,10,1000,1000,-,-,100,100
"peredam kabin mobil",14,https://lifepal.co.id/media/pasang-peredam-mobil/,12,12,260,260,-,-,100,100
"central lock mobil",15,https://lifepal.co.id/media/rangkaian-central-lock-mobil/,12,13,2400,2400,-,-,96,96
"harga obat ciprofloxacin",7,https://lifepal.co.id/media/harga-obat-ciprofloxacin/,6,7,320,320,-,-,1,1
"merk alarm mobil terbaik",5,https://lifepal.co.id/media/alarm-mobil-terbaik/,3,3,70,70,-,-,91,91
"bengkel ban mobil terdekat",15,https://lifepal.co.id/media/toko-ban-mobil/,8,8,6600,6600,-,-,8,8
"asuransi kesehatan terbaik untuk lansia",1,https://lifepal.co.id/media/asuransi-kesehatan-untuk-orang-tua/,1,1,-,-,-,-,-,-
"samsat online",48,https://lifepal.co.id/media/cek-dan-perpanjang-pajak-kendaraan-online-ini-panduannya/,42,44,60500,60500,-,-,2,2
"polis asuransi jiwa adalah",6,https://lifepal.co.id/media/polis-asuransi/,6,7,320,320,-,-,22,21
"mandiri axa general insurance",,,,,720,720,-,-,13,12
"asuransi critical illness",,,,,50,50,1,1,31,31
"balik nama kendaraan bermotor",43,https://lifepal.co.id/media/balik-nama-mobil/,43,50,880,1000,-,-,3,3
"pemutihan pajak kendaraan 2021",8,https://lifepal.co.id/media/pemutihan-pajak-kendaraan-2021/,7,9,50,50,-,-,-,-
"cara klaim asuransi equity life",4,https://lifepal.co.id/media/cara-klaim-asuransi-equity-life/,3,3,70,70,-,-,3,3
"asuransi kesehatan aca",3,https://lifepal.co.id/media/asuransi-kesehatan-aca/,3,3,110,110,-,-,30,29
"asuransi bmw",2,https://lifepal.co.id/media/asuransi-bmw/,2,2,20,20,0.5,0.5,43,39
"pajak progresif mobil jakarta",2,https://lifepal.co.id/media/pajak-progresif-perlu-diketahui-sebelum-membeli-kendaraan/,2,2,50,50,-,-,3,3
"asuransi penyakit kritis murni",1,"https://lifepal.co.id/media/asuransi-penyakit-kritis-murni/#:~:text=Asuransi penyakit kritis murni adalah,stroke, jantung dan gagal ginjal.",1,1,30,30,1.5,1.5,49,49
"ban tubeless",7,https://lifepal.co.id/media/ban-tubeless-bocor/,7,23,14800,14800,-,-,75,75
"asuransi sinarmas msig untuk lansia",1,https://lifepal.co.id/media/asuransi-sinarmas-msig-untuk-lansia/,1,1,10,10,-,-,-,-
"bengkel batam",1,https://lifepal.co.id/media/bengkel-mobil-batam/,1,1,90,90,-,-,2,2
"bengkel mobil di cirebon",1,https://lifepal.co.id/media/bengkel-mobil-cirebon/,1,1,70,70,-,-,4,4
"bengkel mobil di garut",1,https://lifepal.co.id/media/bengkel-mobil-garut/,1,1,40,40,-,-,1,1
"cara cek pajak mobil online",10,https://lifepal.co.id/media/cek-pajak-mobil/,10,37,1600,1600,-,-,17,17
"jba lelang mobil",20,https://lifepal.co.id/media/jba-lelang-mobil/,15,27,6600,6600,-,-,9,9
"mazda mx5",,,,,3600,246000,-,1.5,25,29
"tukul arwana",,,,,90500,90500,-,-,-,-
"nissan leaf",49,https://lifepal.co.id/media/nissan-leaf/,49,51,8100,550000,-,2.5,25,26
"bengkel spesialis kia",4,https://lifepal.co.id/media/bengkel-mobil-kia-terdekat/,4,4,210,210,-,-,4,3
"bengkel mobil jogja",1,https://lifepal.co.id/media/bengkel-mobil-yogyakarta/,1,1,720,720,-,-,9,9
"mobil listrik mitsubishi",,,46,,480,480,-,-,71,70
"bengkel mobil lampung",1,https://lifepal.co.id/media/bengkel-mobil-bandar-lampung/,1,1,70,70,-,-,3,3
"panduan asuransi",3,https://lifepal.co.id/media/panduan-asuransi/,3,5,-,-,-,-,-,-
"asuransi mobil tua",,,,,90,90,2,2,78,73
"bengkel vw",2,https://lifepal.co.id/media/bengkel-vw-jakarta/,1,1,320,320,-,-,7,6
"axa mandiri surabaya",,,,,260,260,-,-,6,6
"klaim asuransi",,,,,1000,1000,-,-,7,7
"mobil listrik",47,https://lifepal.co.id/media/kelemahan-mobil-listrik/,47,,60500,60500,-,-,93,93
"bengkel semarang",3,https://lifepal.co.id/media/bengkel-mobil-semarang/,2,3,210,210,-,-,7,7
"biaya isolasi di rumah sakit",2,https://lifepal.co.id/media/biaya-isolasi-di-rumah-sakit/,2,3,20,30,-,-,-,-
"berapa biaya pasang gigi palsu",7,https://lifepal.co.id/media/biaya-pasang-gigi-palsu/,5,5,320,390,-,-,39,39
"manfaat asuransi kesehatan",24,https://lifepal.co.id/media/manfaat-asuransi-kesehatan/,20,20,590,590,0.5,0.5,32,32
"bengkel mobil di sukabumi",1,https://lifepal.co.id/media/bengkel-mobil-sukabumi/,1,1,50,50,-,-,1,1
"bengkel honda surabaya",1,https://lifepal.co.id/media/bengkel-mobil-honda-surabaya/,1,1,170,170,-,-,5,5
"perbedaan ban tubeless dan ban biasa",9,https://lifepal.co.id/media/perbedaan-ban-tubeless-dan-ban-biasa/,6,9,720,720,-,-,25,24
"apa itu premi asuransi",5,https://lifepal.co.id/media/apa-itu-premi-asuransi/,5,6,720,720,-,-,8,8
"asuransi perjalanan axa",,,,,260,260,0.5,0.5,24,23
"mobil bekas murah dibawah 50 juta",5,https://lifepal.co.id/media/harga-mobil-bekas-dibawah-50-juta/,5,5,1300,1300,-,-,40,39
"harga mobil dfsk",17,https://lifepal.co.id/media/mobil-dfsk/,15,15,480,480,-,-,26,26
"harga mobil wuling confero",21,https://lifepal.co.id/media/daftar-harga-mobil-wuling/,21,22,1300,1300,-,-,41,40
"avanza veloz",19,https://lifepal.co.id/media/ukuran-mobil-avanza-veloz/,17,22,40500,40500,-,-,81,79
"mobil tesla",59,https://lifepal.co.id/media/mobil-listrik-tesla/,55,60,27100,27100,-,-,34,34
"mobil range rover",22,https://lifepal.co.id/media/harga-mobil-land-rover/,18,19,9900,9900,0.5,0.5,45,45
"showroom mobil bekas",70,https://lifepal.co.id/media/pasar-mobil-kemayoran/,49,49,3600,3600,-,-,8,8
"harga bugatti terbaru",1,https://lifepal.co.id/media/mobil-bugatti/,1,2,20,30,-,-,24,22
"harga mobil calya bekas",17,https://lifepal.co.id/media/harga-mobil-calya/,17,25,2900,2900,-,-,38,37
"harga mobil sport",5,https://lifepal.co.id/media/mobil-sport-termahal/,4,4,2900,2900,-,-,53,53
"daftar mobil murah",2,https://lifepal.co.id/media/harga-mobil-termurah-rp-100-juta/,2,2,140,140,-,-,22,22
"harga lamborghini",7,https://lifepal.co.id/media/harga-lamborghini-2/,4,7,14800,14800,-,-,33,33
"harga mobil xenia",20,https://lifepal.co.id/media/harga-mobil-xenia/,20,34,6600,6600,-,-,51,50
"mobil keluarga",65,https://lifepal.co.id/media/mobil-keluarga-mewah/,32,58,8100,8100,-,-,20,20
"harga mobil vw terbaru",7,https://lifepal.co.id/media/harga-mobil-vw/,6,10,110,110,-,-,32,31
"isuzu panther",28,https://lifepal.co.id/media/harga-mobil-panther-bekas/,23,25,14800,18100,-,-,35,32
"harga mobil toyota rush",27,https://lifepal.co.id/media/harga-mobil-toyota-rush/,20,25,3600,3600,-,-,40,39
"mobil second",44,https://lifepal.co.id/media/harga-mobil-bekas-murah/,35,51,6600,6600,-,-,68,66
"harga mobil xenia baru",30,https://lifepal.co.id/media/harga-mobil-xenia/,22,33,3600,3600,-,-,59,59
"asuransi mobil tokio marine",,,,,50,50,2.5,2.5,39,37
"asuransi mobil jasindo",,,,,70,70,1.5,1.5,36,34
"panin dai-ichi life",,,,,-,-,-,-,-,-
"mobil cina",2,https://lifepal.co.id/media/mobil-china-di-indonesia/,2,2,720,880,-,-,-,-
"mobil minimalis",49,https://lifepal.co.id/media/mobil-mini-murah/,38,41,320,320,-,-,39,39
"ferrari portofino",4,https://lifepal.co.id/media/harga-ferrari-portofino/,4,4,2900,165000,0.5,1.5,16,8
"cara merawat mobil diesel",4,https://lifepal.co.id/media/cara-merawat-mobil-diesel/,3,3,30,30,-,-,21,20
"syarat asuransi mobil",1,https://lifepal.co.id/media/syarat-klaim-asuransi-mobil/,1,1,70,70,0.5,0.5,40,39
"mobil 50 jutaan",10,https://lifepal.co.id/media/harga-mobil-bekas-dibawah-50-juta/,6,6,5400,5400,-,-,31,30
"mobil peugeot",15,https://lifepal.co.id/media/harga-mobil-peugeot/,15,17,5400,5400,-,-,41,40
"contoh polis asuransi jiwa syariah",1,https://lifepal.co.id/media/contoh-polis-asuransi-jiwa-syariah/,1,1,10,10,-,-,2,2
"additional insured",,,,,10,3600,-,4.5,-,5
"klaim adira insurance",1,https://lifepal.co.id/media/cara-klaim-asuransi-adira/,1,1,10,10,-,-,-,-
"asuransi generali vs prudential",1,https://lifepal.co.id/media/asuransi-generali-vs-prudential/,1,1,10,10,-,-,29,29
"cara agar tidak muntah saat naik mobil",8,https://lifepal.co.id/media/cara-agar-tidak-mabuk-perjalanan-mobil/,6,6,480,480,-,-,2,2
"Gen Halilintar",,,51,,27100,33100,-,-,1,-
"penipuan asuransi mobil",2,https://lifepal.co.id/media/penipuan-asuransi-kendaraan/,2,2,-,-,-,-,-,-
"7 perusahaan asuransi terbesar di dunia",1,https://lifepal.co.id/media/asuransi-terbaik-di-dunia/,1,1,-,-,-,-,-,-
"mudik mobil",67,https://lifepal.co.id/media/mudik-mobil/,26,26,70,70,-,-,-,-
"suzuki swift",14,https://lifepal.co.id/media/harga-suzuki-swift/,13,13,22200,1000000,-,-,51,21
"mobil pajero sport",,,45,45,14800,14800,-,-,59,58
"bugatti mobil termahal di dunia",2,https://lifepal.co.id/media/mobil-bugatti/,2,2,20,20,-,-,20,20
"harga mobil bekas murah",6,https://lifepal.co.id/media/harga-mobil-bekas-murah/,5,5,880,880,-,-,50,48
"mobil mercedes benz",27,https://lifepal.co.id/media/harga-mobil-mercedes-benz/,26,,6600,6600,-,-,35,37
"mobil bekas",63,https://lifepal.co.id/media/beli-mobil-bekas-dan-tipsnya/,49,69,40500,49500,-,-,64,62
"mobil baru",66,https://lifepal.co.id/media/mobil-baru-2022/,57,62,5400,6600,-,-,52,51
"asuransi yang bisa rawat jalan",3,https://lifepal.co.id/media/asuransi-rawat-jalan/,2,3,40,40,0.5,0.5,68,68
"cara oper gigi mobil matic",3,https://lifepal.co.id/media/cara-pindah-gigi-mobil-matic/,2,3,140,140,-,-,3,3
"premi asuransi mobil murah",3,https://lifepal.co.id/media/asuransi-mobil-yang-bagus-apa-pilih-mana/,1,1,-,-,-,-,-,-
"mobil raize",,,,,22200,22200,-,-,69,68
"wax mobil",6,https://lifepal.co.id/media/manfaat-wax-mobil/,5,5,1900,1900,-,-,100,100
"cara mengendarai mobil matic",6,https://lifepal.co.id/media/cara-menyetir-mobil-matic/,5,5,1600,1600,-,-,1,1
"mobil pickup",35,https://lifepal.co.id/media/harga-mobil-pickup-bekas/,31,31,27100,27100,-,-,53,53
"mobil subaru",18,https://lifepal.co.id/media/harga-mobil-subaru/,15,15,2400,2400,-,1.5,37,37
"motor keren",,,68,,6600,6600,-,-,73,72
"harga mobil xpander",25,https://lifepal.co.id/media/harga-mobil-xpander/,18,18,27100,33100,-,-,51,50
"premi asuransi mobil sinarmas",,,4,,30,30,3.5,3.5,60,60
"mobil kijang",25,https://lifepal.co.id/media/harga-kijang-kapsul-bekas-cenderung-stabil/,25,,14800,14800,-,-,80,79
"pasang aki mobil",10,https://lifepal.co.id/media/cara-pasang-aki-mobil/,8,9,590,590,0.5,0.5,56,56
"harga mobil cadillac",1,https://lifepal.co.id/media/harga-cadillac-escalade/,1,1,260,260,-,-,7,8
"mobil listrik murah",6,https://lifepal.co.id/media/mobil-listrik-murah-16-juta/,6,8,18100,18100,-,-,97,97
"harga mobil bmw bekas",12,https://lifepal.co.id/media/harga-mobil-bmw-bekas/,11,11,1900,2400,-,-,53,51
"honda accord",,,36,36,27100,1000000,-,1.5,33,78
"kapan v belt mobil harus diganti",2,https://lifepal.co.id/media/kapan-fan-belt-mobil-harus-diganti/,2,2,-,-,-,-,-,-
"cek gps mobil",2,https://lifepal.co.id/media/cara-cek-mobil-ada-gps-atau-tidak/,2,2,110,110,-,-,68,68
"mobil sedan",10,https://lifepal.co.id/media/mobil-sedan-terbaik/,6,6,27100,27100,-,-,30,30
"harga mini cooper",27,https://lifepal.co.id/media/harga-mini-cooper-classic/,21,24,27100,27100,-,-,66,65
"ukuran tekanan ban mobil avanza",5,https://lifepal.co.id/media/ukuran-tekanan-ban-avanza/,5,5,390,390,-,-,8,8
"mobil geely",2,https://lifepal.co.id/media/harga-mobil-geely/,2,2,1900,2400,-,-,30,30
"mobil smart fortwo",4,https://lifepal.co.id/media/harga-mobil-smart/,2,4,1600,1600,-,-,60,59
"bmw e46",9,https://lifepal.co.id/media/harga-bmw-e46/,7,8,22200,450000,-,-,35,15
"cara membersihkan jok mobil kain",6,https://lifepal.co.id/media/cara-membersihkan-jok-mobil/,5,5,210,260,-,-,96,96
"mobil diesel",3,https://lifepal.co.id/media/mobil-diesel-terbaik-dan-kelebihannya/,2,2,2900,4400,-,8,7,15
"cara blokir pajak progresif online",8,https://lifepal.co.id/media/cara-blokir-kendaraan/,8,9,110,110,-,-,1,1
"perbedaan asuransi allrisk dan tlo",4,https://lifepal.co.id/media/apa-itu-asuransi-tlo/,4,4,110,110,-,-,43,43
"perhitungan pajak progresif mobil",10,https://lifepal.co.id/media/pajak-progresif-mobil/,9,10,210,210,-,-,5,5
"cas aki mobil",14,https://lifepal.co.id/media/biaya-setrum-aki-mobil/,12,13,3600,3600,-,-,100,100
"kaca mobil",24,https://lifepal.co.id/media/cara-membersihkan-kaca-mobil/,21,27,5400,5400,-,-,22,22
"jenis mobil mewah",7,https://lifepal.co.id/media/merk-mobil-mewah/,6,6,260,260,-,-,5,5
"penipuan asuransi kesehatan",19,https://lifepal.co.id/media/penipuan-asuransi-kesehatan-keluarga/,10,13,-,-,-,-,-,-
"biaya ganti plat motor",18,https://lifepal.co.id/media/biaya-ganti-plat-mobil-nomor-merah-ke-hitam/,16,17,8100,8100,-,-,-,-
"pajero sport",,,,,90500,201000,-,0.5,47,35
"cara merawat ban mobil",13,https://lifepal.co.id/media/cara-merawat-ban-mobil/,12,12,70,70,-,-,2,2
"ciri shockbreaker mobil rusak",5,https://lifepal.co.id/media/ciri-shock-mobil-mati/,5,6,170,170,-,-,6,6
"mobil Eropa",2,https://lifepal.co.id/media/mobil-eropa/,2,2,2900,2900,-,-,9,9
"beli mobil baru",37,https://lifepal.co.id/media/tips-membeli-mobil-baru-secara-cash-kalau-ogah-kredit/,30,32,590,720,-,-,67,65
"usia membuat sim",1,"https://lifepal.co.id/media/usia-membuat-sim/#:~:text=Usia minimal SIM A, SIM,SIM BI adalah 20 tahun",1,5,70,70,-,-,-,-
amborghini,87,https://lifepal.co.id/media/harga-lamborghini/,62,85,90500,5000000,-,-,30,34
"pembersih velg mobil",8,https://lifepal.co.id/media/cara-membersihkan-velg-mobil/,6,6,140,140,-,-,100,100
"hyundai staria",68,https://lifepal.co.id/media/hyundai-staria/,63,,22200,246000,-,-,51,16
"mobil listrik honda",,,,,1600,1600,-,-,64,63
"klakson mobil",16,https://lifepal.co.id/media/klakson-mobil-mati/,15,16,3600,3600,-,-,100,100
"pemilik mobil",,,41,41,30,30,-,-,-,-
"mobil ferrari",3,https://lifepal.co.id/media/harga-mobil-ferrari/,3,3,22200,22200,-,-,32,32
"asap putih pada mobil",5,https://lifepal.co.id/media/asap-putih-pada-mobil/,5,6,210,210,-,-,15,15
"Suzuki Jimny",,,34,,27100,1220000,-,-,59,27
"apa itu isofix",5,https://lifepal.co.id/media/apa-itu-isofix/,5,5,90,140,-,-,22,35
"Vespa GTS Super 150",,,,,1000,1300,-,-,72,67
"tesla cybertruck",,,,,3600,450000,-,2.5,59,11
"cara ganti lampu foglamp calya",1,https://lifepal.co.id/media/cara-ganti-lampu-foglamp-calya/,1,1,20,30,-,-,83,83
"mobil derek",1,https://lifepal.co.id/media/mogok-jasa-derek-mobil-lebih-murah-daripada-towing-lho/,1,1,8100,8100,-,-,84,83
"lampu indikator mobil",1,https://lifepal.co.id/media/indikator-mobil/,1,1,2400,2400,-,-,18,18
"lampu hazard",22,https://lifepal.co.id/media/rangkaian-lampu-hazard-mobil/,20,24,4400,5400,-,-,20,18
"lampu led mobil",8,https://lifepal.co.id/media/led-mobil-paling-terang/,7,15,6600,6600,-,-,100,100
"mobil paling irit",1,https://lifepal.co.id/media/daftar-mobil-irit-bensin/,1,1,2400,2400,-,-,1,1
"harga mobil ferrari",4,https://lifepal.co.id/media/harga-ferrari/,3,4,6600,6600,-,-,26,26
"batas kecepatan mobil di jalan tol",8,https://lifepal.co.id/media/batas-kecepatan-mobil-di-jalan-tol/,5,5,720,720,-,-,-,-
"ganti rugi mobil tertimpa pohon",2,https://lifepal.co.id/media/ganti-rugi-mobil-tertimpa-pohon/,2,4,-,-,-,-,-,-
"cara klaim jht",14,https://lifepal.co.id/media/klaim-jht-bpjs-ketenagakerjaan/,13,15,3600,3600,-,-,-,-
"biaya tes corona",3,https://lifepal.co.id/media/biaya-tes-corona/,1,1,-,-,-,-,-,-
"xpander cross",,,,,33100,49500,-,-,67,57
"gejala laher roda mobil rusak",4,https://lifepal.co.id/media/ciri-ciri-laher-roda-depan-mobil-rusak/,2,3,20,20,-,-,7,7
"mobil hemat bbm",1,https://lifepal.co.id/media/daftar-mobil-irit-bensin/,1,2,590,590,-,-,11,10
"cara mengisi air radiator mobil",4,https://lifepal.co.id/media/radiator-mobil/,1,4,210,210,-,-,11,11
"mobil buatan jepang",4,https://lifepal.co.id/media/mobil-jepang/,4,4,390,390,-,-,1,1
"mobil low mpv",4,https://lifepal.co.id/media/mobil-keluarga-terlaris-di-indonesia/,4,7,90,90,-,-,4,4
"mobil mewah bekas",5,https://lifepal.co.id/media/mobil-mewah-murah/,4,4,70,70,-,-,16,16
"mobil mewah di indonesia",8,https://lifepal.co.id/media/daftar-mobil-termahal-di-indonesia-harganya-bikin-melongo/,7,7,2900,2900,-,-,17,17
"mobil sedan murah",8,https://lifepal.co.id/media/mobil-sedan-terbaik/,7,7,4400,5400,-,-,54,54
"mobil mewah",10,https://lifepal.co.id/media/merk-mobil-mewah/,8,10,40500,40500,-,-,17,17
"harga mobil honda",58,https://lifepal.co.id/media/mobil-honda-terbaru/,34,34,12100,12100,-,-,53,52
"harga mobil wuling cortez",16,https://lifepal.co.id/media/daftar-harga-mobil-wuling/,13,15,880,1000,-,-,45,45
"mesin mobil",3,https://lifepal.co.id/media/bagian-mesin-mobil-dan-fungsinya/,3,3,3600,3600,-,-,65,64
"mobil terbaru datsun",18,https://lifepal.co.id/media/harga-mobil-datsun-cross/,13,13,10,10,-,-,83,71
"renault triber",11,https://lifepal.co.id/media/renault-triber/,11,15,4400,246000,-,-,21,19
"mobil wuling terbaru",13,https://lifepal.co.id/media/daftar-harga-mobil-wuling/,10,14,4400,4400,-,-,72,72
"mobil suv",33,https://lifepal.co.id/media/mobil-suv-terbaik/,14,14,12100,12100,-,-,19,19
"harga mobil brio",22,https://lifepal.co.id/media/harga-mobil-brio-matic/,22,66,60500,60500,-,-,65,64
"fungsi stabilizer mobil",4,https://lifepal.co.id/media/stabilizer-mobil/,4,4,390,390,-,-,33,33
"mobil listrik termurah",9,https://lifepal.co.id/media/mobil-listrik-murah-16-juta/,9,16,1300,1300,-,-,92,92
hatchback,20,https://lifepal.co.id/media/mobil-hatchback-murah/,18,21,4400,201000,0.5,1,7,11
"asuransi mobil allianz",5,https://lifepal.co.id/media/asuransi-mobil-allianz/,4,4,140,140,2.5,2.5,34,33
"mobil listrik kecil",28,https://lifepal.co.id/media/mobil-mini-murah/,23,34,1000,1000,-,-,93,93
"harga kijang innova",37,https://lifepal.co.id/media/harga-mobil-kijang-innova/,30,31,5400,5400,-,-,43,42
"harga mobil sedan bekas",27,https://lifepal.co.id/media/harga-mobil-bekas-dibawah-50-juta/,21,21,1900,1900,-,-,25,24
"harga mesin steam mobil",15,https://lifepal.co.id/media/mesin-cuci-mobil/,13,16,110,110,-,-,100,100
"harga mobil bekas di bawah 100 juta",21,https://lifepal.co.id/media/harga-mobil-bekas-murah/,21,21,8100,8100,-,-,39,38
"manfaat asuransi perjalanan",3,https://lifepal.co.id/media/manfaat-asuransi-perjalanan/,3,4,40,40,-,-,23,23
